Date,Outdoor Temperature,Indoor Temperature,0
2020-03-07 00:00:00,37.9,75.6,0
2020-03-07 00:05:00,37.9,75.6,0
2020-03-07 00:10:00,38.1,75.4,0
2020-03-07 00:15:00,37.9,75.6,0
2020-03-07 00:20:00,37.9,75.6,0
2020-03-07 00:25:00,37.8,75.6,0
2020-03-07 00:30:00,37.9,75.6,0
2020-03-07 00:35:00,37.9,75.6,0
2020-03-07 00:40:00,37.8,75.7,0
2020-03-07 00:45:00,37.9,75.6,0
2020-03-07 00:50:00,38.1,75.6,0
2020-03-07 00:55:00,38.1,75.6,0
2020-03-07 01:00,37.9,75.7,0
2020-03-07 01:05:00,38.1,75.4,0
2020-03-07 01:10:00,38.3,75.4,0
2020-03-07 01:15:00,38.3,75.4,0
2020-03-07 01:20:00,38.3,75.4,0
2020-03-07 01:25:00,38.5,75.4,0
2020-03-07 01:30:00,38.3,75.2,0
2020-03-07 01:35:00,38.3,75.4,0
2020-03-07 01:40:00,38.3,75.2,0
2020-03-07 01:45:00,38.3,75.2,0
2020-03-07 01:50:00,38.3,75.2,0
2020-03-07 01:55:00,38.1,75,0
2020-03-07 02:00,38.3,75,0
2020-03-07 02:05:00,38.3,74.8,0
2020-03-07 02:10:00,38.3,74.8,0
2020-03-07 02:15:00,38.3,74.8,0
2020-03-07 02:20:00,38.1,74.8,0
2020-03-07 02:25:00,37.9,74.7,0
2020-03-07 02:30:00,37.9,74.7,0
2020-03-07 02:35:00,37.9,74.7,0
2020-03-07 02:40:00,37.9,74.7,0
2020-03-07 02:45:00,37.9,74.3,0
2020-03-07 02:50:00,37.9,74.3,0
2020-03-07 02:55:00,37.8,74.5,0
2020-03-07 03:00,37.9,74.1,0
2020-03-07 03:05:00,37.8,74.3,0
2020-03-07 03:10:00,37.9,74.1,0
2020-03-07 03:15:00,37.8,74.1,0
2020-03-07 03:20:00,37.8,74.1,0
2020-03-07 03:25:00,37.8,73.9,0
2020-03-07 03:30:00,37.9,73.9,0
2020-03-07 03:35:00,38.1,73.8,0
2020-03-07 03:40:00,38.1,73.9,0
2020-03-07 03:45:00,38.1,73.9,0
2020-03-07 03:50:00,38.1,73.8,0
2020-03-07 03:55:00,38.3,73.6,0
2020-03-07 04:00,38.5,73.6,0
2020-03-07 04:05:00,38.5,73.4,0
2020-03-07 04:10:00,38.5,73.4,0
2020-03-07 04:15:00,38.7,73.4,0
2020-03-07 04:20:00,38.7,73.4,0
2020-03-07 04:25:00,38.7,73.4,0
2020-03-07 04:30:00,38.8,73.4,0
2020-03-07 04:35:00,38.7,73.2,0
2020-03-07 04:40:00,38.7,73.4,0
2020-03-07 04:45:00,38.5,73.2,0
2020-03-07 04:50:00,38.5,73.2,0
2020-03-07 04:55:00,38.5,73.2,0
2020-03-07 05:00,38.7,73.2,0
2020-03-07 05:05:00,38.7,73.2,0
2020-03-07 05:10:00,38.5,73.2,0
2020-03-07 05:15:00,38.5,73,0
2020-03-07 05:20:00,38.5,73,0
2020-03-07 05:25:00,38.5,72.9,0
2020-03-07 05:30:00,38.5,72.9,0
2020-03-07 05:35:00,38.1,72.9,0
2020-03-07 05:40:00,37.9,72.9,0
2020-03-07 05:45:00,37.6,72.7,0
2020-03-07 05:50:00,37.4,72.9,0
2020-03-07 05:55:00,37.2,72.9,0
2020-03-07 06:00,37.4,72.7,0
2020-03-07 06:05:00,37.4,72.7,0
2020-03-07 06:10:00,37.4,72.9,0
2020-03-07 06:15:00,37.4,72.7,0
2020-03-07 06:20:00,37.4,72.5,0
2020-03-07 06:25:00,37.2,72.5,0
2020-03-07 06:30:00,37.2,72.3,0
2020-03-07 06:35:00,37.4,72.5,0
2020-03-07 06:40:00,37.6,72.5,0
2020-03-07 06:45:00,37.8,72.5,0
2020-03-07 06:50:00,37.8,72.3,0
2020-03-07 06:55:00,37.8,72.3,0
2020-03-07 07:00,37.8,72.3,0
2020-03-07 07:05:00,37.9,72.3,0
2020-03-07 07:10:00,38.1,72.3,0
2020-03-07 07:15:00,38.1,72.3,0
2020-03-07 07:20:00,38.1,72.3,0
2020-03-07 07:25:00,38.3,72.1,0
2020-03-07 07:30:00,38.5,72.3,0
2020-03-07 07:35:00,38.5,72.3,0
2020-03-07 07:40:00,38.5,72.3,0
2020-03-07 07:45:00,38.7,72.3,0
2020-03-07 07:50:00,38.7,72.1,0
2020-03-07 07:55:00,38.8,72.3,0
2020-03-07 08:00,39,72.3,0
2020-03-07 08:05:00,39,72.5,0
2020-03-07 08:10:00,39,72.5,0
2020-03-07 08:15:00,39.2,72.7,0
2020-03-07 08:20:00,39.4,72.5,0
2020-03-07 08:25:00,39.4,72.5,0
2020-03-07 08:30:00,39.6,72.5,0
2020-03-07 08:35:00,39.6,72.7,0
2020-03-07 08:40:00,39.9,72.7,0
2020-03-07 08:45:00,39.9,72.7,0
2020-03-07 08:50:00,39.6,72.9,0
2020-03-07 08:55:00,39.9,73,0
2020-03-07 09:00,39.7,72.9,0
2020-03-07 09:05:00,40.1,72.9,0
2020-03-07 09:10:00,39.9,72.9,0
2020-03-07 09:15:00,39.9,73,0
2020-03-07 09:20:00,39.7,73,0
2020-03-07 09:25:00,39.6,73,0
2020-03-07 09:30:00,39.6,73,0
2020-03-07 09:35:00,39.4,73.2,0
2020-03-07 09:40:00,39.4,73,0
2020-03-07 09:45:00,39.4,73.2,0
2020-03-07 09:50:00,39.6,73.2,0
2020-03-07 09:55:00,39.9,73,0
2020-03-07 10:00,40.1,73.2,0
2020-03-07 10:05:00,40.1,73,0
2020-03-07 10:10:00,39.9,73.2,0
2020-03-07 10:15:00,39.7,73,0
2020-03-07 10:20:00,40.1,73,0
2020-03-07 10:25:00,40.3,73,0
2020-03-07 10:30:00,40.5,73.2,0
2020-03-07 10:35:00,40.8,73,0
2020-03-07 10:40:00,41.5,72.9,0
2020-03-07 10:45:00,41.2,73.2,0
2020-03-07 10:50:00,40.8,73.4,0
2020-03-07 10:55:00,41.2,73.2,0
2020-03-07 11:00,41.2,73.2,0
2020-03-07 11:05:00,41,73.2,0
2020-03-07 11:10:00,41.2,73.2,0
2020-03-07 11:15:00,41.5,73.2,0
2020-03-07 11:20:00,41.5,73.2,0
2020-03-07 11:25:00,41.4,73,0
2020-03-07 11:30:00,41.4,73.2,0
2020-03-07 11:35:00,41.5,73,0
2020-03-07 11:40:00,41.4,73,0
2020-03-07 11:45:00,41.7,73.2,0
2020-03-07 11:50:00,41.5,73.2,0
2020-03-07 11:55:00,41.2,73.2,0
2020-03-07 12:00,40.8,73,0
2020-03-07 12:05:00,40.6,73.2,0
2020-03-07 12:10:00,40.6,73,0
2020-03-07 12:15:00,40.6,73.2,0
2020-03-07 12:20:00,41,73.2,0
2020-03-07 12:25:00,41.2,73.4,0
2020-03-07 12:30:00,42.1,73.6,0
2020-03-07 12:35:00,43,73.6,0
2020-03-07 12:40:00,43.2,73.8,0
2020-03-07 12:45:00,43,74.1,0
2020-03-07 12:50:00,42.4,74.1,0
2020-03-07 12:55:00,42.4,74.3,0
2020-03-07 13:00,41.7,74.3,0
2020-03-07 13:05:00,42.1,74.7,0
2020-03-07 13:10:00,42.3,74.7,0
2020-03-07 13:15:00,43.9,74.7,0
2020-03-07 13:20:00,43.9,74.7,0
2020-03-07 13:25:00,43.9,74.8,0
2020-03-07 13:30:00,44.8,74.8,0
2020-03-07 13:35:00,44.8,74.8,0
2020-03-07 13:40:00,45,75.2,0
2020-03-07 13:45:00,43,75,0
2020-03-07 13:50:00,45.7,75.2,0
2020-03-07 13:55:00,44.2,75.4,0
2020-03-07 14:00,45.1,75.7,0
2020-03-07 14:05:00,45.5,76.1,0
2020-03-07 14:10:00,46.2,76.5,0
2020-03-07 14:15:00,45.9,76.8,0
2020-03-07 14:20:00,45.9,77.4,0
2020-03-07 14:25:00,46.2,77.7,0
2020-03-07 14:30:00,47.7,78.1,0
2020-03-07 14:35:00,43.3,77.9,0
2020-03-07 14:40:00,43,78.1,0
2020-03-07 14:45:00,43.5,78.1,0
2020-03-07 14:50:00,43.9,78.1,0
2020-03-07 14:55:00,43.3,77.9,0
2020-03-07 15:00,42.8,77.7,0
2020-03-07 15:05:00,42.4,77.5,0
2020-03-07 15:10:00,42.3,77.5,0
2020-03-07 15:15:00,42.3,77.4,0
2020-03-07 15:20:00,42.4,77.2,0
2020-03-07 15:25:00,43,77.4,0
2020-03-07 15:30:00,43.7,77.5,0
2020-03-07 15:35:00,43,77.5,0
2020-03-07 15:40:00,43.9,78.3,0
2020-03-07 15:45:00,45.1,79.9,0
2020-03-07 15:50:00,46.2,80.4,0
2020-03-07 15:55:00,45.5,80.2,0
2020-03-07 16:00,45.5,80.2,0
2020-03-07 16:05:00,44.6,79.7,0
2020-03-07 16:10:00,44.8,79.7,0
2020-03-07 16:15:00,44.6,79.7,0
2020-03-07 16:20:00,43.3,79.3,0
2020-03-07 16:25:00,41.7,79,0
2020-03-07 16:30:00,40.3,78.6,0
2020-03-07 16:35:00,39.9,78.6,0
2020-03-07 16:40:00,39.4,78.1,0
2020-03-07 16:45:00,39.2,78.1,0
2020-03-07 16:50:00,39.2,77.7,0
2020-03-07 16:55:00,38.7,77.7,0
2020-03-07 17:00,38.3,77.7,0
2020-03-07 17:05:00,38.1,77.4,0
2020-03-07 17:10:00,37.9,77.4,0
2020-03-07 17:15:00,37.9,77.4,0
2020-03-07 17:20:00,37.9,77.2,0
2020-03-07 17:25:00,37.8,77,0
2020-03-07 17:30:00,37.6,77,0
2020-03-07 17:35:00,37.4,77,0
2020-03-07 17:40:00,37,77,0
2020-03-07 17:45:00,36.9,76.8,0
2020-03-07 17:50:00,36.7,76.6,0
2020-03-07 17:55:00,36.5,76.6,0
2020-03-07 18:00,36.5,76.5,0
2020-03-07 18:05:00,36.3,76.5,0
2020-03-07 18:10:00,36.1,76.3,0
2020-03-07 18:15:00,36.1,76.1,0
2020-03-07 18:20:00,36,75.9,0
2020-03-07 18:25:00,35.8,75.9,0
2020-03-07 18:30:00,35.8,76.1,0
2020-03-07 18:35:00,35.8,76.1,0
2020-03-07 18:40:00,36,75.9,0
2020-03-07 18:45:00,36.3,75.7,0
2020-03-07 18:50:00,36.7,75.6,0
2020-03-07 18:55:00,36.5,75.6,0
2020-03-07 19:00,36.3,75.4,0
2020-03-07 19:05:00,36,75.6,0
2020-03-07 19:10:00,35.6,75.4,0
2020-03-07 19:15:00,35.2,75.6,0
2020-03-07 19:20:00,35.1,75.6,0
2020-03-07 19:25:00,35.1,75.4,0
2020-03-07 19:30:00,35.4,75.7,0
2020-03-07 19:35:00,35.6,75.9,0
2020-03-07 19:40:00,36,76.3,0
2020-03-07 19:45:00,36.3,76.5,0
2020-03-07 19:50:00,36.5,76.5,0
2020-03-07 19:55:00,36.5,76.5,0
2020-03-07 20:00,36.9,76.1,0
2020-03-07 20:05:00,36.9,76.3,0
2020-03-07 20:10:00,36.5,76.3,0
2020-03-07 20:15:00,36.5,76.1,0
2020-03-07 20:20:00,36.7,76.1,0
2020-03-07 20:25:00,36.9,76.1,0
2020-03-07 20:30:00,36.9,75.9,0
2020-03-07 20:35:00,37,75.9,0
2020-03-07 20:40:00,37,75.9,0
2020-03-07 20:45:00,36.9,75.9,0
2020-03-07 20:50:00,36.5,75.7,0
2020-03-07 20:55:00,36.3,75.7,0
2020-03-07 21:00,36,75.6,0
2020-03-07 21:05:00,35.6,75.6,0
2020-03-07 21:10:00,35.2,75.4,0
2020-03-07 21:15:00,35.1,75.6,0
2020-03-07 21:20:00,34.9,75.4,0
2020-03-07 21:25:00,34.9,75.4,0
2020-03-07 21:30:00,34.9,75.2,0
2020-03-07 21:35:00,34.9,75.2,0
2020-03-07 21:40:00,34.9,75,0
2020-03-07 21:45:00,34.9,75,0
2020-03-07 21:50:00,34.9,74.8,0
2020-03-07 21:55:00,35.1,74.7,0
2020-03-07 22:00,35.1,74.5,0
2020-03-07 22:05:00,35.1,74.7,0
2020-03-07 22:10:00,35.1,74.7,0
2020-03-07 22:15:00,35.1,74.5,0
2020-03-07 22:20:00,35.1,74.5,0
2020-03-07 22:25:00,35.1,74.3,0
2020-03-07 22:30:00,35.1,74.3,0
2020-03-07 22:35:00,34.9,74.3,0
2020-03-07 22:40:00,34.9,74.1,0
2020-03-07 22:45:00,34.9,74.1,0
2020-03-07 22:50:00,34.7,73.9,0
2020-03-07 22:55:00,34.7,73.8,0
2020-03-07 23:00,34.5,73.9,0
2020-03-07 23:05:00,34.5,73.9,0
2020-03-07 23:10:00,34.7,73.9,0
2020-03-07 23:15:00,34.7,73.8,0
2020-03-07 23:20:00,34.7,73.8,0
2020-03-07 23:25:00,34.7,73.8,0
2020-03-07 23:30:00,35.1,73.6,0
2020-03-07 23:35:00,34.9,73.6,0
2020-03-07 23:40:00,35.2,73.6,0
2020-03-07 23:45:00,35.1,73.6,0
2020-03-07 23:50:00,35.1,73.4,0
2020-03-07 23:55:00,34.9,73.6,0
2020-03-08 00:00:00,35.1,73.6,0
2020-03-08 00:05:00,35.2,73.4,0
2020-03-08 00:10:00,35.4,73.4,0
2020-03-08 00:15:00,35.2,73.4,0
2020-03-08 00:20:00,35.2,73.2,0
2020-03-08 00:25:00,35.2,73.4,0
2020-03-08 00:30:00,35.2,73,0
2020-03-08 00:35:00,35.1,73,0
2020-03-08 00:40:00,35.2,73.2,0
2020-03-08 00:45:00,35.2,73.2,0
2020-03-08 00:50:00,35.1,73.2,0
2020-03-08 00:55:00,34.9,73,0
2020-03-08 01:00,34.9,72.9,0
2020-03-08 01:05:00,34.7,72.9,0
2020-03-08 01:10:00,34.5,72.9,0
2020-03-08 01:15:00,34.5,72.9,0
2020-03-08 01:20:00,34.5,72.9,0
2020-03-08 01:25:00,34.7,72.9,0
2020-03-08 01:30:00,34.5,72.7,0
2020-03-08 01:35:00,34.3,72.7,0
2020-03-08 01:40:00,34.3,72.7,0
2020-03-08 01:45:00,34.3,72.7,0
2020-03-08 01:50:00,34.3,72.7,0
2020-03-08 01:55:00,34.3,72.7,0
2020-03-08 03:00,34.5,72.7,0
2020-03-08 03:05:00,34.5,72.7,0
2020-03-08 03:10:00,34.5,72.7,0
2020-03-08 03:15:00,34.3,72.7,0
2020-03-08 03:20:00,34.5,72.7,0
2020-03-08 03:25:00,34.5,72.5,0
2020-03-08 03:30:00,34.3,72.5,0
2020-03-08 03:35:00,34.7,72.5,0
2020-03-08 03:40:00,34.9,72.3,0
2020-03-08 03:45:00,35.2,72.3,0
2020-03-08 03:50:00,35.1,72.3,0
2020-03-08 03:55:00,35.2,72.1,0
2020-03-08 04:00,35.2,72.3,0
2020-03-08 04:05:00,35.4,72.1,0
2020-03-08 04:10:00,35.4,72.1,0
2020-03-08 04:15:00,35.2,72.1,0
2020-03-08 04:20:00,35.2,72.5,0
2020-03-08 04:25:00,35.4,72.1,0
2020-03-08 04:30:00,35.6,72.1,0
2020-03-08 04:35:00,35.8,72.3,0
2020-03-08 04:40:00,36,72.3,0
2020-03-08 04:45:00,36,72.1,0
2020-03-08 04:50:00,36,72.1,0
2020-03-08 04:55:00,35.8,72.1,0
2020-03-08 05:00,36,72.1,0
2020-03-08 05:05:00,35.8,72.1,0
2020-03-08 05:10:00,35.6,72.1,0
2020-03-08 05:15:00,35.6,72,0
2020-03-08 05:20:00,35.6,72,0
2020-03-08 05:25:00,35.8,72.1,0
2020-03-08 05:30:00,35.8,71.8,0
2020-03-08 05:35:00,36,72,0
2020-03-08 05:40:00,36,71.8,0
2020-03-08 05:45:00,36.1,71.8,0
2020-03-08 05:50:00,36.1,71.8,0
2020-03-08 05:55:00,36.3,72,0
2020-03-08 06:00,36.3,71.8,0
2020-03-08 06:05:00,36.3,72,0
2020-03-08 06:10:00,36.1,71.8,0
2020-03-08 06:15:00,36.1,71.8,0
2020-03-08 06:20:00,36.1,71.8,0
2020-03-08 06:25:00,36.1,72,0
2020-03-08 06:30:00,36.3,71.8,0
2020-03-08 06:35:00,36.3,71.8,0
2020-03-08 06:40:00,36.1,72,0
2020-03-08 06:45:00,36.3,72,0
2020-03-08 06:50:00,36.3,71.8,0
2020-03-08 06:55:00,36.1,71.8,0
2020-03-08 07:00,36.1,71.8,0
2020-03-08 07:05:00,36.1,71.8,0
2020-03-08 07:10:00,36.1,71.8,0
2020-03-08 07:15:00,36.1,71.8,0
2020-03-08 07:20:00,36.1,71.8,0
2020-03-08 07:25:00,36,71.8,0
2020-03-08 07:30:00,35.8,71.8,0
2020-03-08 07:35:00,35.6,71.8,0
2020-03-08 07:40:00,35.2,71.8,0
2020-03-08 07:45:00,35.4,71.6,0
2020-03-08 07:50:00,35.2,71.8,0
2020-03-08 07:55:00,35.1,71.6,0
2020-03-08 08:00,34.9,71.8,0
2020-03-08 08:05:00,34.9,71.8,0
2020-03-08 08:10:00,34.7,71.8,0
2020-03-08 08:15:00,34.7,71.6,0
2020-03-08 08:20:00,34.9,71.8,0
2020-03-08 08:25:00,35.2,71.8,0
2020-03-08 08:30:00,35.2,71.6,0
2020-03-08 08:35:00,35.2,71.8,0
2020-03-08 08:40:00,35.6,71.6,0
2020-03-08 08:45:00,36,71.8,0
2020-03-08 08:50:00,36.1,71.8,0
2020-03-08 08:55:00,36.7,71.8,0
2020-03-08 09:00,36.9,71.8,0
2020-03-08 09:05:00,37,71.6,0
2020-03-08 09:10:00,37.2,72,0
2020-03-08 09:15:00,37.6,71.8,0
2020-03-08 09:20:00,37.6,72,0
2020-03-08 09:25:00,37.4,71.8,0
2020-03-08 09:30:00,37.6,72,0
2020-03-08 09:35:00,37.6,71.8,0
2020-03-08 09:40:00,37.6,71.8,0
2020-03-08 09:45:00,37.8,71.8,0
2020-03-08 09:50:00,37.9,71.8,0
2020-03-08 09:55:00,37.8,71.8,0
2020-03-08 10:00,38.1,71.8,0
2020-03-08 10:05:00,38.1,72,0
2020-03-08 10:10:00,38.1,72,0
2020-03-08 10:15:00,38.1,71.8,0
2020-03-08 10:20:00,37.8,72.1,0
2020-03-08 10:25:00,37.6,72.1,0
2020-03-08 10:30:00,37.8,72.1,0
2020-03-08 10:35:00,37.6,72.1,0
2020-03-08 10:40:00,38.1,72.3,0
2020-03-08 10:45:00,38.5,72.3,0
2020-03-08 10:50:00,39,72.3,0
2020-03-08 10:55:00,38.5,72.5,0
2020-03-08 11:00,38.1,72.5,0
2020-03-08 11:05:00,37.9,72.3,0
2020-03-08 11:10:00,38.1,72.7,0
2020-03-08 11:15:00,38.5,72.7,0
2020-03-08 11:20:00,38.7,72.5,0
2020-03-08 11:25:00,38.1,72.7,0
2020-03-08 11:30:00,38.3,72.5,0
2020-03-08 11:35:00,39.2,72.7,0
2020-03-08 11:40:00,41.2,72.7,0
2020-03-08 11:45:00,41.2,72.9,0
2020-03-08 11:50:00,39.4,72.7,0
2020-03-08 11:55:00,39.2,72.9,0
2020-03-08 12:00,39.7,72.9,0
2020-03-08 12:05:00,40.6,72.9,0
2020-03-08 12:10:00,41,73,0
2020-03-08 12:15:00,40.5,73,0
2020-03-08 12:20:00,40.1,73.2,0
2020-03-08 12:25:00,40.1,73.2,0
2020-03-08 12:30:00,39.2,73.4,0
2020-03-08 12:35:00,39,73.4,0
2020-03-08 12:40:00,39.6,73.6,0
2020-03-08 12:45:00,41,73.6,0
2020-03-08 12:50:00,41.5,73.6,0
2020-03-08 12:55:00,41.9,73.8,0
2020-03-08 13:00,41.9,73.9,0
2020-03-08 13:05:00,43.7,74.1,0
2020-03-08 13:10:00,43.5,74.1,0
2020-03-08 13:15:00,43.5,74.3,0
2020-03-08 13:20:00,42.3,74.1,0
2020-03-08 13:25:00,41.7,73.9,0
2020-03-08 13:30:00,41.5,74.1,0
2020-03-08 13:35:00,41.9,74.3,0
2020-03-08 13:40:00,41.5,74.3,0
2020-03-08 13:45:00,41.5,74.7,0
2020-03-08 13:50:00,43,74.5,0
2020-03-08 13:55:00,43.3,74.5,0
2020-03-08 14:00,44.2,74.8,0
2020-03-08 14:05:00,43.7,74.7,0
2020-03-08 14:10:00,44.2,75,0
2020-03-08 14:15:00,43.5,75,0
2020-03-08 14:20:00,43.3,75,0
2020-03-08 14:25:00,42.8,75,0
2020-03-08 14:30:00,43.5,75,0
2020-03-08 14:35:00,43.7,75,0
2020-03-08 14:40:00,43.3,75.2,0
2020-03-08 14:45:00,44.4,75.2,0
2020-03-08 14:50:00,44.1,75.6,0
2020-03-08 14:55:00,44.4,75.4,0
2020-03-08 15:00,44.1,75.6,0
2020-03-08 15:05:00,43.7,75.4,0
2020-03-08 15:10:00,43.5,75.4,0
2020-03-08 15:15:00,43.9,75.4,0
2020-03-08 15:20:00,43.7,75.4,0
2020-03-08 15:25:00,43.7,75.4,0
2020-03-08 15:30:00,43.9,75.7,0
2020-03-08 15:35:00,43.5,75.6,0
2020-03-08 15:40:00,43.2,75.6,0
2020-03-08 15:45:00,42.8,75.4,0
2020-03-08 15:50:00,42.8,75.6,0
2020-03-08 15:55:00,42.8,75.4,0
2020-03-08 16:00,43,75.6,0
2020-03-08 16:05:00,43,75.4,0
2020-03-08 16:10:00,42.8,75.4,0
2020-03-08 16:15:00,42.4,75.6,0
2020-03-08 16:20:00,42.8,75.7,0
2020-03-08 16:25:00,43,75.4,0
2020-03-08 16:30:00,42.8,75.7,0
2020-03-08 16:35:00,42.4,75.7,0
2020-03-08 16:40:00,42.3,75.7,0
2020-03-08 16:45:00,42.8,75.7,0
2020-03-08 16:50:00,42.8,75.9,0
2020-03-08 16:55:00,42.8,75.9,0
2020-03-08 17:00,42.6,75.9,0
2020-03-08 17:05:00,43.3,75.7,0
2020-03-08 17:10:00,42.8,76.1,0
2020-03-08 17:15:00,42.1,75.7,0
2020-03-08 17:20:00,41.9,75.7,0
2020-03-08 17:25:00,41.7,75.6,0
2020-03-08 17:30:00,41.7,75.4,0
2020-03-08 17:35:00,41.7,75.7,0
2020-03-08 17:40:00,41.7,75.9,0
2020-03-08 17:45:00,42.1,75.7,0
2020-03-08 17:50:00,41.7,76.1,0
2020-03-08 17:55:00,41.4,75.9,0
2020-03-08 18:00,41.2,75.9,0
2020-03-08 18:05:00,41.2,75.7,0
2020-03-08 18:10:00,40.5,75.7,0
2020-03-08 18:15:00,40.1,75.7,0
2020-03-08 18:20:00,39.7,75.6,0
2020-03-08 18:25:00,39.6,75.6,0
2020-03-08 18:30:00,39.4,75.6,0
2020-03-08 18:35:00,39.4,75.6,0
2020-03-08 18:40:00,39.2,75.6,0
2020-03-08 18:45:00,38.8,75.4,0
2020-03-08 18:50:00,38.5,75.4,0
2020-03-08 18:55:00,37.9,75.4,0
2020-03-08 19:00,37.4,75.2,0
2020-03-08 19:05:00,37.2,75.2,0
2020-03-08 19:10:00,37,75.2,0
2020-03-08 19:15:00,36.9,75,0
2020-03-08 19:20:00,36.5,74.8,0
2020-03-08 19:25:00,36.7,74.8,0
2020-03-08 19:30:00,36.3,75,0
2020-03-08 19:35:00,36.1,74.8,0
2020-03-08 19:40:00,35.8,75,0
2020-03-08 19:45:00,35.8,74.8,0
2020-03-08 19:50:00,35.8,75,0
2020-03-08 19:55:00,35.8,75,0
2020-03-08 20:00,35.8,74.8,0
2020-03-08 20:05:00,35.4,74.8,0
2020-03-08 20:10:00,35.4,75,0
2020-03-08 20:15:00,35.6,75.2,0
2020-03-08 20:20:00,35.4,75.2,0
2020-03-08 20:25:00,35.1,75.6,0
2020-03-08 20:30:00,35.8,75.7,0
2020-03-08 20:35:00,36.1,75.7,0
2020-03-08 20:40:00,36,75.7,0
2020-03-08 20:45:00,35.8,75.7,0
2020-03-08 20:50:00,35.8,75.6,0
2020-03-08 20:55:00,35.8,75.6,0
2020-03-08 21:00,35.6,75.7,0
2020-03-08 21:05:00,35.6,75.6,0
2020-03-08 21:10:00,35.4,75.6,0
2020-03-08 21:15:00,35.6,75.6,0
2020-03-08 21:20:00,35.2,75.4,0
2020-03-08 21:25:00,35.8,75.4,0
2020-03-08 21:30:00,36,75.6,0
2020-03-08 21:35:00,36.1,75.2,0
2020-03-08 21:40:00,36,75.4,0
2020-03-08 21:45:00,36,75.2,0
2020-03-08 21:50:00,36,75.2,0
2020-03-08 21:55:00,35.6,75,0
2020-03-08 22:00,35.8,75.2,0
