,Date,Daily Rain (in)
Average,2022-05-30,0.04
High,2022-05-30,0.05
High Datetime,2022-05-30,2022-05-30T05:25:00-07:00
Low,2022-05-30,0
Low Datetime,2022-05-30,2022-05-30T01:00:00-07:00
Average,2022-05-29,0.48
High,2022-05-29,0.69
High Datetime,2022-05-29,2022-05-29T23:26:00-07:00
Low,2022-05-29,0
Low Datetime,2022-05-29,2022-05-29T00:00:00-07:00
Average,2022-05-28,0.04
High,2022-05-28,0.14
High Datetime,2022-05-28,2022-05-28T23:57:00-07:00
Low,2022-05-28,0
Low Datetime,2022-05-28,2022-05-28T01:00:00-07:00
Average,2022-05-27,0.02
High,2022-05-27,0.02
High Datetime,2022-05-27,2022-05-27T02:41:00-07:00
Low,2022-05-27,0
Low Datetime,2022-05-27,2022-05-27T00:00:00-07:00
Average,2022-05-26,0.03
High,2022-05-26,0.16
High Datetime,2022-05-26,2022-05-26T20:52:00-07:00
Low,2022-05-26,0
Low Datetime,2022-05-26,2022-05-26T01:00:00-07:00
Average,2022-05-25,0.05
High,2022-05-25,0.06
High Datetime,2022-05-25,2022-05-25T06:19:00-07:00
Low,2022-05-25,0
Low Datetime,2022-05-25,2022-05-25T01:00:00-07:00
Average,2022-05-24,0
High,2022-05-24,0.01
High Datetime,2022-05-24,2022-05-24T18:20:00-07:00
Low,2022-05-24,0
Low Datetime,2022-05-24,2022-05-24T01:00:00-07:00
Average,2022-05-23,0
High,2022-05-23,0
High Datetime,2022-05-23,2022-05-23T01:00:00-07:00
Low,2022-05-23,0
Low Datetime,2022-05-23,2022-05-23T01:00:00-07:00
Average,2022-05-22,0
High,2022-05-22,0
High Datetime,2022-05-22,2022-05-22T01:00:00-07:00
Low,2022-05-22,0
Low Datetime,2022-05-22,2022-05-22T01:00:00-07:00
Average,2022-05-21,0
High,2022-05-21,0
High Datetime,2022-05-21,2022-05-21T01:00:00-07:00
Low,2022-05-21,0
Low Datetime,2022-05-21,2022-05-21T01:00:00-07:00
Average,2022-05-20,0
High,2022-05-20,0
High Datetime,2022-05-20,2022-05-20T01:00:00-07:00
Low,2022-05-20,0
Low Datetime,2022-05-20,2022-05-20T01:00:00-07:00
Average,2022-05-19,0.02
High,2022-05-19,0.03
High Datetime,2022-05-19,2022-05-19T05:40:00-07:00
Low,2022-05-19,0
Low Datetime,2022-05-19,2022-05-19T01:00:00-07:00
Average,2022-05-18,0.09
High,2022-05-18,0.12
High Datetime,2022-05-18,2022-05-18T08:47:00-07:00
Low,2022-05-18,0
Low Datetime,2022-05-18,2022-05-18T01:00:00-07:00
Average,2022-05-17,0
High,2022-05-17,0
High Datetime,2022-05-17,2022-05-17T01:00:00-07:00
Low,2022-05-17,0
Low Datetime,2022-05-17,2022-05-17T01:00:00-07:00
Average,2022-05-16,0.03
High,2022-05-16,0.04
High Datetime,2022-05-16,2022-05-16T07:58:00-07:00
Low,2022-05-16,0
Low Datetime,2022-05-16,2022-05-16T01:00:00-07:00
Average,2022-05-15,0.32
High,2022-05-15,0.78
High Datetime,2022-05-15,2022-05-15T20:54:00-07:00
Low,2022-05-15,0
Low Datetime,2022-05-15,2022-05-15T01:00:00-07:00
Average,2022-05-14,0.05
High,2022-05-14,0.07
High Datetime,2022-05-14,2022-05-14T07:55:00-07:00
Low,2022-05-14,0
Low Datetime,2022-05-14,2022-05-14T01:00:00-07:00
Average,2022-05-13,0
High,2022-05-13,0
High Datetime,2022-05-13,2022-05-13T01:00:00-07:00
Low,2022-05-13,0
Low Datetime,2022-05-13,2022-05-13T01:00:00-07:00
Average,2022-05-12,0.24
High,2022-05-12,0.71
High Datetime,2022-05-12,2022-05-12T21:51:00-07:00
Low,2022-05-12,0
Low Datetime,2022-05-12,2022-05-12T01:00:00-07:00
Average,2022-05-11,0
High,2022-05-11,0.01
High Datetime,2022-05-11,2022-05-11T20:58:00-07:00
Low,2022-05-11,0
Low Datetime,2022-05-11,2022-05-11T01:00:00-07:00
Average,2022-05-10,0.22
High,2022-05-10,0.24
High Datetime,2022-05-10,2022-05-10T07:26:00-07:00
Low,2022-05-10,0
Low Datetime,2022-05-10,2022-05-10T00:00:00-07:00
Average,2022-05-09,0.02
High,2022-05-09,0.19
High Datetime,2022-05-09,2022-05-09T23:58:00-07:00
Low,2022-05-09,0
Low Datetime,2022-05-09,2022-05-09T01:00:00-07:00
Average,2022-05-08,0.09
High,2022-05-08,0.18
High Datetime,2022-05-08,2022-05-08T13:39:00-07:00
Low,2022-05-08,0
Low Datetime,2022-05-08,2022-05-08T01:00:00-07:00
Average,2022-05-07,0.95
High,2022-05-07,2.34
High Datetime,2022-05-07,2022-05-07T22:48:00-07:00
Low,2022-05-07,0
Low Datetime,2022-05-07,2022-05-07T00:00:00-07:00
Average,2022-05-06,0.14
High,2022-05-06,0.52
High Datetime,2022-05-06,2022-05-06T23:58:00-07:00
Low,2022-05-06,0
Low Datetime,2022-05-06,2022-05-06T01:00:00-07:00
Average,2022-05-05,0.37
High,2022-05-05,0.76
High Datetime,2022-05-05,2022-05-05T23:33:00-07:00
Low,2022-05-05,0
Low Datetime,2022-05-05,2022-05-05T01:00:00-07:00
Average,2022-05-04,0
High,2022-05-04,0
High Datetime,2022-05-04,2022-05-04T01:00:00-07:00
Low,2022-05-04,0
Low Datetime,2022-05-04,2022-05-04T01:00:00-07:00
Average,2022-05-03,0.08
High,2022-05-03,0.12
High Datetime,2022-05-03,2022-05-03T10:11:00-07:00
Low,2022-05-03,0
Low Datetime,2022-05-03,2022-05-03T01:00:00-07:00
Average,2022-05-02,0.54
High,2022-05-02,0.71
High Datetime,2022-05-02,2022-05-02T09:49:00-07:00
Low,2022-05-02,0
Low Datetime,2022-05-02,2022-05-02T01:00:00-07:00
Average,2022-05-01,0
High,2022-05-01,0
High Datetime,2022-05-01,2022-05-01T01:00:00-07:00
Low,2022-05-01,0
Low Datetime,2022-05-01,2022-05-01T01:00:00-07:00